iso,country,period,score
,AFRICA,200804,2
,AFRICA,200901,2
,AFRICA,200902,1
,AFRICA,200903,1
,AFRICA,200904,1
,AFRICA,201001,1
,AFRICA,201002,2
,AFRICA,201003,2
,AFRICA,201004,2
,AFRICA,201101,2
,AFRICA,201102,2
,AFRICA,201103,2
,AFRICA,201104,1
,AFRICA,201201,1
,AFRICA,201202,1
,AFRICA,201203,1
,AFRICA,201204,1
,AFRICA,201301,2
,AFRICA,201302,2
,ASIA,200804,1
,ASIA,200901,1
,ASIA,200902,2
,ASIA,200903,3
,ASIA,200904,2
,ASIA,201001,2
,ASIA,201002,2
,ASIA,201003,2
,ASIA,201004,2
,ASIA,201101,2
,ASIA,201102,3
,ASIA,201103,2
,ASIA,201104,2
,ASIA,201201,2
,ASIA,201202,1
,ASIA,201203,1
,ASIA,201204,2
,ASIA,201301,1
,ASIA,201302,2
,GLOBAL,200804,2
,GLOBAL,200901,2
,GLOBAL,200902,2
,GLOBAL,200903,3
,GLOBAL,200904,3
,GLOBAL,201001,3
,GLOBAL,201002,2
,GLOBAL,201003,3
,GLOBAL,201004,3
,GLOBAL,201101,2
,GLOBAL,201102,3
,GLOBAL,201103,2
,GLOBAL,201104,2
,GLOBAL,201201,2
,GLOBAL,201202,2
,GLOBAL,201203,2
,GLOBAL,201204,2
,GLOBAL,201301,2
,GLOBAL,201302,2
,LATIN AMERICA, CARIBBEAN,200804,2
,LATIN AMERICA, CARIBBEAN,200901,2
,LATIN AMERICA, CARIBBEAN,200902,2
,LATIN AMERICA, CARIBBEAN,200903,3
,LATIN AMERICA, CARIBBEAN,200904,3
,LATIN AMERICA, CARIBBEAN,201001,3
,LATIN AMERICA, CARIBBEAN,201002,3
,LATIN AMERICA, CARIBBEAN,201003,3
,LATIN AMERICA, CARIBBEAN,201004,3
,LATIN AMERICA, CARIBBEAN,201101,3
,LATIN AMERICA, CARIBBEAN,201102,3
,LATIN AMERICA, CARIBBEAN,201103,2
,LATIN AMERICA, CARIBBEAN,201104,3
,LATIN AMERICA, CARIBBEAN,201201,3
,LATIN AMERICA, CARIBBEAN,201202,3
,LATIN AMERICA, CARIBBEAN,201203,3
,LATIN AMERICA, CARIBBEAN,201204,3
,LATIN AMERICA, CARIBBEAN,201301,3
,LATIN AMERICA, CARIBBEAN,201302,3
,OCEANIA,200804,1
,OCEANIA,200901,1
,OCEANIA,200902,1
,OCEANIA,200903,1
,OCEANIA,200904,1
,OCEANIA,201001,1
,OCEANIA,201002,1
,OCEANIA,201003,2
,OCEANIA,201004,2
,OCEANIA,201101,2
,OCEANIA,201102,2
,OCEANIA,201103,1
,OCEANIA,201104,1
,OCEANIA,201201,1
,OCEANIA,201202,1
,OCEANIA,201203,1
,OCEANIA,201204,1
,OCEANIA,201301,2
,OCEANIA,201302,2
AGO,Angola,200804,4
AGO,Angola,200901,4
AGO,Angola,200902,4
AGO,Angola,200903,4
AGO,Angola,200904,4
AGO,Angola,201001,4
AGO,Angola,201002,4
AGO,Angola,201003,4
AGO,Angola,201004,4
AGO,Angola,201101,4
AGO,Angola,201102,4
AGO,Angola,201103,4
AGO,Angola,201104,4
AGO,Angola,201201,4
AGO,Angola,201202,4
AGO,Angola,201203,4
AGO,Angola,201204,4
AGO,Angola,201301,4
AGO,Angola,201302,4
ARG,Argentina,200804,2
ARG,Argentina,200901,2
ARG,Argentina,200902,1
ARG,Argentina,200903,1
ARG,Argentina,200904,1
ARG,Argentina,201001,2
ARG,Argentina,201002,2
ARG,Argentina,201003,2
ARG,Argentina,201004,4
ARG,Argentina,201101,4
ARG,Argentina,201102,4
ARG,Argentina,201103,4
ARG,Argentina,201104,4
ARG,Argentina,201201,4
ARG,Argentina,201202,4
ARG,Argentina,201203,4
ARG,Argentina,201204,4
ARG,Argentina,201301,4
ARG,Argentina,201302,4
ATG,Antigua and Barbuda,200804,4
ATG,Antigua and Barbuda,200901,4
ATG,Antigua and Barbuda,200902,4
ATG,Antigua and Barbuda,200903,4
ATG,Antigua and Barbuda,200904,4
ATG,Antigua and Barbuda,201001,4
ATG,Antigua and Barbuda,201002,4
ATG,Antigua and Barbuda,201003,4
ATG,Antigua and Barbuda,201004,4
ATG,Antigua and Barbuda,201101,4
ATG,Antigua and Barbuda,201102,4
ATG,Antigua and Barbuda,201103,4
ATG,Antigua and Barbuda,201104,4
ATG,Antigua and Barbuda,201201,4
ATG,Antigua and Barbuda,201202,4
ATG,Antigua and Barbuda,201203,4
ATG,Antigua and Barbuda,201204,4
ATG,Antigua and Barbuda,201301,4
ATG,Antigua and Barbuda,201302,4
BDI,Burundi,200804,4
BDI,Burundi,200901,4
BDI,Burundi,200902,4
BDI,Burundi,200903,4
BDI,Burundi,200904,1
BDI,Burundi,201001,2
BDI,Burundi,201002,2
BDI,Burundi,201003,2
BDI,Burundi,201004,4
BDI,Burundi,201101,4
BDI,Burundi,201102,4
BDI,Burundi,201103,3
BDI,Burundi,201104,1
BDI,Burundi,201201,2
BDI,Burundi,201202,2
BDI,Burundi,201203,1
BDI,Burundi,201204,1
BDI,Burundi,201301,1
BDI,Burundi,201302,1
BEN,Benin,200804,4
BEN,Benin,200901,4
BEN,Benin,200902,4
BEN,Benin,200903,4
BEN,Benin,200904,4
BEN,Benin,201001,4
BEN,Benin,201002,4
BEN,Benin,201003,4
BEN,Benin,201004,4
BEN,Benin,201101,4
BEN,Benin,201102,4
BEN,Benin,201103,4
BEN,Benin,201104,3
BEN,Benin,201201,4
BEN,Benin,201202,4
BEN,Benin,201203,4
BEN,Benin,201204,4
BEN,Benin,201301,4
BEN,Benin,201302,4
BGD,Bangladesh,200804,2
BGD,Bangladesh,200901,1
BGD,Bangladesh,200902,1
BGD,Bangladesh,200903,1
BGD,Bangladesh,200904,1
BGD,Bangladesh,201001,1
BGD,Bangladesh,201002,1
BGD,Bangladesh,201003,1
BGD,Bangladesh,201004,1
BGD,Bangladesh,201101,1
BGD,Bangladesh,201102,2
BGD,Bangladesh,201103,2
BGD,Bangladesh,201104,2
BGD,Bangladesh,201201,1
BGD,Bangladesh,201202,1
BGD,Bangladesh,201203,1
BGD,Bangladesh,201204,2
BGD,Bangladesh,201301,1
BGD,Bangladesh,201302,1
BLZ,Belize,200804,1
BLZ,Belize,200901,2
BLZ,Belize,200902,1
BLZ,Belize,200903,1
BLZ,Belize,200904,2
BLZ,Belize,201001,2
BLZ,Belize,201002,1
BLZ,Belize,201003,2
BLZ,Belize,201004,1
BLZ,Belize,201101,1
BLZ,Belize,201102,1
BLZ,Belize,201103,1
BLZ,Belize,201104,1
BLZ,Belize,201201,1
BLZ,Belize,201202,1
BLZ,Belize,201203,2
BLZ,Belize,201204,2
BLZ,Belize,201301,2
BLZ,Belize,201302,2
BOL,Bolivia,200804,2
BOL,Bolivia,200901,2
BOL,Bolivia,200902,4
BOL,Bolivia,200903,4
BOL,Bolivia,200904,4
BOL,Bolivia,201001,4
BOL,Bolivia,201002,4
BOL,Bolivia,201003,4
BOL,Bolivia,201004,1
BOL,Bolivia,201101,1
BOL,Bolivia,201102,1
BOL,Bolivia,201103,1
BOL,Bolivia,201104,1
BOL,Bolivia,201201,2
BOL,Bolivia,201202,2
BOL,Bolivia,201203,2
BOL,Bolivia,201204,4
BOL,Bolivia,201301,4
BOL,Bolivia,201302,4
BRA,Brazil,200804,2
BRA,Brazil,200901,2
BRA,Brazil,200902,2
BRA,Brazil,200903,4
BRA,Brazil,200904,4
BRA,Brazil,201001,4
BRA,Brazil,201002,4
BRA,Brazil,201003,4
BRA,Brazil,201004,4
BRA,Brazil,201101,4
BRA,Brazil,201102,4
BRA,Brazil,201103,3
BRA,Brazil,201104,4
BRA,Brazil,201201,4
BRA,Brazil,201202,4
BRA,Brazil,201203,4
BRA,Brazil,201204,4
BRA,Brazil,201301,4
BRA,Brazil,201302,4
BRN,Brunei,200804,4
BRN,Brunei,200901,4
BRN,Brunei,200902,4
BRN,Brunei,200903,1
BRN,Brunei,200904,1
BRN,Brunei,201001,1
BRN,Brunei,201002,1
BRN,Brunei,201003,2
BRN,Brunei,201004,2
BRN,Brunei,201101,1
BRN,Brunei,201102,1
BRN,Brunei,201103,1
BRN,Brunei,201104,1
BRN,Brunei,201201,1
BRN,Brunei,201202,2
BRN,Brunei,201203,2
BRN,Brunei,201204,2
BRN,Brunei,201301,2
BRN,Brunei,201302,2
BTN,Bhutan,200804,1
BTN,Bhutan,200901,1
BTN,Bhutan,200902,1
BTN,Bhutan,200903,2
BTN,Bhutan,200904,1
BTN,Bhutan,201001,2
BTN,Bhutan,201002,2
BTN,Bhutan,201003,1
BTN,Bhutan,201004,1
BTN,Bhutan,201101,1
BTN,Bhutan,201102,1
BTN,Bhutan,201103,1
BTN,Bhutan,201104,2
BTN,Bhutan,201201,1
BTN,Bhutan,201202,1
BTN,Bhutan,201203,1
BTN,Bhutan,201204,2
BTN,Bhutan,201301,1
BTN,Bhutan,201302,2
CAF,Central African Republic,200804,1
CAF,Central African Republic,200901,1
CAF,Central African Republic,200902,2
CAF,Central African Republic,200903,2
CAF,Central African Republic,200904,4
CAF,Central African Republic,201001,4
CAF,Central African Republic,201002,1
CAF,Central African Republic,201003,1
CAF,Central African Republic,201004,1
CAF,Central African Republic,201101,1
CAF,Central African Republic,201102,1
CAF,Central African Republic,201103,2
CAF,Central African Republic,201104,1
CAF,Central African Republic,201201,1
CAF,Central African Republic,201202,1
CAF,Central African Republic,201203,1
CAF,Central African Republic,201204,2
CAF,Central African Republic,201301,2
CAF,Central African Republic,201302,2
CHN,China,200804,4
CHN,China,200901,4
CHN,China,200902,4
CHN,China,200903,4
CHN,China,200904,4
CHN,China,201001,4
CHN,China,201002,4
CHN,China,201003,4
CHN,China,201004,4
CHN,China,201101,4
CHN,China,201102,3
CHN,China,201103,3
CHN,China,201104,3
CHN,China,201201,1
CHN,China,201202,1
CHN,China,201203,1
CHN,China,201204,2
CHN,China,201301,2
CHN,China,201302,2
CIV,Côte d'Ivoire,200804,1
CIV,Côte d'Ivoire,200901,1
CIV,Côte d'Ivoire,200902,1
CIV,Côte d'Ivoire,200903,1
CIV,Côte d'Ivoire,200904,1
CIV,Côte d'Ivoire,201001,1
CIV,Côte d'Ivoire,201002,1
CIV,Côte d'Ivoire,201003,1
CIV,Côte d'Ivoire,201004,1
CIV,Côte d'Ivoire,201101,1
CIV,Côte d'Ivoire,201102,1
CIV,Côte d'Ivoire,201103,1
CIV,Côte d'Ivoire,201104,1
CIV,Côte d'Ivoire,201201,1
CIV,Côte d'Ivoire,201202,1
CIV,Côte d'Ivoire,201203,1
CIV,Côte d'Ivoire,201204,1
CIV,Côte d'Ivoire,201301,2
CIV,Côte d'Ivoire,201302,2
CMR,Cameroon,200804,1
CMR,Cameroon,200901,1
CMR,Cameroon,200902,1
CMR,Cameroon,200903,1
CMR,Cameroon,200904,1
CMR,Cameroon,201001,1
CMR,Cameroon,201002,1
CMR,Cameroon,201003,1
CMR,Cameroon,201004,1
CMR,Cameroon,201101,1
CMR,Cameroon,201102,1
CMR,Cameroon,201103,2
CMR,Cameroon,201104,1
CMR,Cameroon,201201,1
CMR,Cameroon,201202,1
CMR,Cameroon,201203,1
CMR,Cameroon,201204,1
CMR,Cameroon,201301,2
CMR,Cameroon,201302,2
COD,Democratic Republic of the Congo,200804,1
COD,Democratic Republic of the Congo,200901,1
COD,Democratic Republic of the Congo,200902,1
COD,Democratic Republic of the Congo,200903,1
COD,Democratic Republic of the Congo,200904,1
COD,Democratic Republic of the Congo,201001,1
COD,Democratic Republic of the Congo,201002,1
COD,Democratic Republic of the Congo,201003,1
COD,Democratic Republic of the Congo,201004,1
COD,Democratic Republic of the Congo,201101,1
COD,Democratic Republic of the Congo,201102,1
COD,Democratic Republic of the Congo,201103,1
COD,Democratic Republic of the Congo,201104,1
COD,Democratic Republic of the Congo,201201,1
COD,Democratic Republic of the Congo,201202,1
COD,Democratic Republic of the Congo,201203,1
COD,Democratic Republic of the Congo,201204,2
COD,Democratic Republic of the Congo,201301,2
COD,Democratic Republic of the Congo,201302,2
COG,Republic of Congo,200804,1
COG,Republic of Congo,200901,2
COG,Republic of Congo,200902,2
COG,Republic of Congo,200903,1
COG,Republic of Congo,200904,1
COG,Republic of Congo,201001,1
COG,Republic of Congo,201002,1
COG,Republic of Congo,201003,1
COG,Republic of Congo,201004,1
COG,Republic of Congo,201101,1
COG,Republic of Congo,201102,1
COG,Republic of Congo,201103,1
COG,Republic of Congo,201104,1
COG,Republic of Congo,201201,1
COG,Republic of Congo,201202,1
COG,Republic of Congo,201203,2
COG,Republic of Congo,201204,2
COG,Republic of Congo,201301,2
COG,Republic of Congo,201302,2
COL,Colombia,200804,1
COL,Colombia,200901,1
COL,Colombia,200902,1
COL,Colombia,200903,2
COL,Colombia,200904,1
COL,Colombia,201001,1
COL,Colombia,201002,1
COL,Colombia,201003,1
COL,Colombia,201004,1
COL,Colombia,201101,1
COL,Colombia,201102,1
COL,Colombia,201103,1
COL,Colombia,201104,1
COL,Colombia,201201,1
COL,Colombia,201202,1
COL,Colombia,201203,2
COL,Colombia,201204,2
COL,Colombia,201301,2
COL,Colombia,201302,2
COM,Comoros,200804,1
COM,Comoros,200901,1
COM,Comoros,200902,1
COM,Comoros,200903,1
COM,Comoros,200904,1
COM,Comoros,201001,1
COM,Comoros,201002,1
